Idopont,CPU_szazalek,RAM_GB,GPU_szazalek,VRAM_GB,GPU_Watt,GPU_Celsius
19:03:09,50.1,16.52,8,11.39,42.9,52
19:03:10,40.8,16.52,8,11.39,42.3,52
19:03:11,0.1,16.52,0,11.39,21.6,50
19:03:12,0.1,16.52,0,11.39,18.4,50
19:03:13,30.9,16.56,0,11.39,19.3,50
19:03:14,48.2,15.90,0,11.39,19.4,50
19:03:15,29.9,16.63,86,11.39,55.0,56
19:03:16,50.1,16.63,8,11.39,57.4,52
19:03:17,50.2,16.62,15,11.39,46.9,52
19:03:18,50.1,16.62,15,11.39,42.9,51
19:03:19,50.2,16.62,15,11.39,42.2,54
19:03:20,50.1,16.61,8,11.39,43.0,53
19:03:21,50.2,16.60,8,11.39,42.2,52
19:03:22,50.2,16.60,8,11.39,41.8,52
19:03:23,50.1,16.60,8,11.39,42.5,52
19:03:24,50.3,16.59,8,11.39,41.7,52
19:03:25,50.2,16.59,8,11.39,42.4,52
19:03:26,50.1,16.58,14,11.39,43.0,52
19:03:27,50.2,16.58,15,11.39,43.1,52
19:03:28,50.2,16.58,15,11.39,43.1,52
19:03:29,50.2,16.58,15,11.39,42.8,54
19:03:30,50.1,16.58,10,11.39,43.5,53
19:03:31,50.1,16.58,8,11.39,43.4,52
19:03:32,50.2,16.57,8,11.39,42.8,52
19:03:33,50.1,16.57,8,11.39,42.0,52
19:03:34,50.2,16.57,16,11.39,42.5,52
19:03:35,50.1,16.57,15,11.39,43.4,52
19:03:36,50.2,16.57,16,11.39,43.3,52
19:03:37,50.1,16.57,16,11.39,42.7,52
19:03:38,50.1,16.57,16,11.39,43.1,52
19:03:39,50.1,16.57,16,11.39,42.5,52
19:03:40,50.1,16.57,16,11.39,42.6,52
19:03:41,50.2,16.57,16,11.39,43.0,53
19:03:42,50.2,16.57,16,11.39,43.5,54
19:03:43,50.1,16.57,16,11.39,42.7,52
19:03:44,50.2,16.56,16,11.39,43.5,52
19:03:45,50.2,16.56,16,11.39,43.5,52
19:03:46,50.2,16.56,16,11.39,43.0,52
19:03:47,50.2,16.56,16,11.39,43.3,52
